a 3650
b 889
c 1236
d 1230
e 3480
f 558
g 847
h 1012
i 2297
j 158
k 708
l 2026
m 1134
n 1823
o 2335
p 1097
q 70
r 2336
s 2847
t 1863
u 1432
v 416
w 497
x 204
y 1050
z 180
